chr	enhancer_starts	enhancer_ends	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me1	DAY4_H3K4me1	H3K27ac_FC	H3K4me3_FC	fragMEAN	log2FoldChange	padj
chr11	117103200	117105200	Sec14l1	12	12	19	16	0	-1.1875	14.75	0.220198569590226	1.22184873424791e-07
chr12	32130100	32133700	Pik3cg	22	14	12	11	-1.57142857142857	-1.09090909090909	14.75	NA	NA
chr13	41657800	41661700	Tmem170b	21	5	18	15	-4.2	-1.2	14.75	0.164377208147385	0.137197292464055
chr13	51021600	51024000	Spin1	13	6	19	21	-2.16666666666667	1.10526315789474	14.75	-0.275651174861848	2.04933466244781e-17
chr14	33686700	33688700	Ptpn20	13	13	13	20	0	1.53846153846154	14.75	0.173651495958266	0.770163989811085
chr15	77873300	77875300	Myh9	11	17	11	20	1.54545454545455	1.81818181818182	14.75	-0.388037313823028	1.20247708408553e-56
chr17	26366200	26369000	Neurl1b	5	11	26	17	2.2	-1.52941176470588	14.75	-1.53343544881657	1.38740354255073e-22
chr18	61675400	61678200	Il17b	9	12	14	24	1.33333333333333	1.71428571428571	14.75	NA	NA
chr18	84893800	84896000	Cyb5a	16	10	16	17	-1.6	1.0625	14.75	-0.842727195645752	2.63241207481188e-48
chr19	42237500	42239500	Golga7b	8	8	26	17	0	-1.52941176470588	14.75	6.78700385752007	5.77446501000053e-10
chr1	38729400	38731400	Aff3	14	7	22	15	-2	-1.46666666666667	14.5	-1.49526650240162	7.31694348082055e-48
chr1	157442600	157445200	Cryzl2	23	10	10	15	-2.3	1.5	14.5	0.841231734425223	0.0459080876470798
chr2	27640200	27642200	Rxra	8	11	21	18	1.375	-1.16666666666667	14.5	-0.327517877002571	1.92392221752377e-31
chr2	32636500	32638500	Ak1	13	23	13	9	1.76923076923077	-1.44444444444444	14.5	0.357988712337743	8.48686300700844e-37
chr2	154576300	154578300	E2f1	14	16	9	19	1.14285714285714	2.11111111111111	14.5	-1.22007357949088	1.99647756952244e-121
chr2	157480200	157483400	Src	11	8	23	16	-1.375	-1.4375	14.5	0.399532821815877	9.0431343422013e-14
chr4	11854100	11856100	Cdh17	15	8	19	16	-1.875	-1.1875	14.5	-2.59007934973915	2.14766296893293e-19
chr4	83210700	83212700	Ttc39b	13	18	13	14	1.38461538461538	1.07692307692308	14.5	0.14667248186368	0.0473840041534408
chr4	118314400	118316400	Ptprf	9	8	21	20	-1.125	-1.05	14.5	-0.315823882940892	8.61267969086552e-08
chr5	138953100	138955100	Pdgfa	8	7	19	24	-1.14285714285714	1.26315789473684	14.5	1.5666769263644	0
chr5	150935800	150937800	Kl	14	5	13	26	-2.8	2	14.5	-1.26576522111545	0.602143888214198
chr6	24590900	24592900	Lmod2	17	5	19	17	-3.4	-1.11764705882353	14.5	-0.331477887569044	NA
chr6	37645000	37647000	Akr1d1	14	18	14	12	1.28571428571429	-1.16666666666667	14.5	1.35018710063275	0.646008596668913
chr6	86126700	86131800	Add2	13	19	12	14	1.46153846153846	1.16666666666667	14.5	1.11118852849108	0.747528614104968
chr7	105474600	105476600	Cavin3	17	8	15	18	-2.125	1.2	14.5	-0.377368673344051	3.78689716442799e-14
chr8	15036000	15038000	BB014433	11	6	16	25	-1.83333333333333	1.5625	14.5	0.38982909723421	NA
chr8	87966800	87968800	Zfp423	13	12	15	18	-1.08333333333333	1.2	14.5	-0.0127901401424673	0.894882436967299
chr9	59182000	59184000	Adpgk	9	6	23	20	-1.5	-1.15	14.5	-0.0669667088622544	0.204746370999237
chr9	62663100	62665100	Itga11	12	15	22	9	1.25	-2.44444444444444	14.5	0.436488143085456	9.01168258844888e-20
chr9	66303700	66307300	Dapk2	13	17	15	13	1.30769230769231	-1.15384615384615	14.5	2.42495155282174	5.07158525859009e-09
chr9	71810400	71812400	Cgnl1	15	20	6	17	1.33333333333333	2.83333333333333	14.5	-0.240299190237796	6.30492506892553e-08
chr9	107323400	107326200	Hemk1	15	11	22	10	-1.36363636363636	-2.2	14.5	-0.219456086822537	0.67310404122981
chr10	125743100	125746100	Lrig3	13	15	16	14	1.15384615384615	-1.14285714285714	14.5	-1.26869808397792	2.84693231371608e-92
chr10	125809000	125811800	Lrig3	21	13	14	10	-1.61538461538462	-1.4	14.5	-1.26869808397792	2.84693231371608e-92
chr11	95213400	95215400	Tac4	17	11	15	15	-1.54545454545455	0	14.5	1.96125042705246	0.0885665037790235
chr11	95499900	95501900	Nxph3	12	12	5	29	0	5.8	14.5	0.469087250694157	0.656059181515182
chr11	101857900	101859900	Meox1	10	6	23	19	-1.66666666666667	-1.21052631578947	14.5	-1.25404712294608	0.069422355744831
chr11	102563900	102567100	Gpatch8	14	14	16	14	0	-1.14285714285714	14.5	-0.370351021214174	7.19186097815087e-08
chr11	118253300	118255300	Cyth1	14	14	14	16	0	1.14285714285714	14.5	-0.142227665483155	0.0147809143050165
chr12	86795100	86797100	Lrrc74a	19	13	14	12	-1.46153846153846	-1.16666666666667	14.5	NA	NA
chr15	83070100	83072100	Serhl	15	7	25	11	-2.14285714285714	-2.27272727272727	14.5	-0.316875948571119	0.00148571996968799
chr16	10776800	10778800	Socs1	13	17	16	12	1.30769230769231	-1.33333333333333	14.5	0.326883019516856	0.000541566678748343
chr19	55998000	56000000	Tcf7l2	13	15	8	22	1.15384615384615	2.75	14.5	-0.8371594703805	2.16338825815755e-39
chr1	92211500	92213500	Hdac4	13	13	18	13	0	-1.38461538461538	14.25	-0.57150673298616	7.01347524192006e-15
chr1	133843200	133845400	Atp2b4	11	9	15	22	-1.22222222222222	1.46666666666667	14.25	1.9281091610112	0
chr1	157439100	157441100	Cryzl2	10	6	21	20	-1.66666666666667	-1.05	14.25	0.841231734425223	0.0459080876470798
chr2	103900600	103905200	Lmo2	21	14	9	13	-1.5	1.44444444444444	14.25	1.78533007895013	0.376776067365358
chr2	143032000	143034000	Snrpb2	15	7	16	19	-2.14285714285714	1.1875	14.25	-0.369870770144506	5.78286256698822e-09
chr2	148337900	148339900	Sstr4	19	15	10	13	-1.26666666666667	1.3	14.25	1.11119377051386	0.714724306070684
chr3	130835600	130837600	Rpl34	10	18	11	18	1.8	1.63636363636364	14.25	0.35630531638289	3.38298589711456e-20
chr3	136609100	136611100	Ppp3ca	8	12	17	20	1.5	1.17647058823529	14.25	0.369305547457487	1.42773115595028e-40
chr4	149888800	149892000	Spsb1	11	17	16	13	1.54545454545455	-1.23076923076923	14.25	-0.597692566949771	9.57153076238552e-12
chr6	112401200	112403200	Ssu2	13	11	12	21	-1.18181818181818	1.75	14.25	4.02298037921367	0.000649915204563909
chr7	67481800	67483800	Lrrc28	25	12	10	10	-2.08333333333333	0	14.25	0.530080105969495	4.4842915578454e-11
chr8	68923000	68925000	Lpl	12	18	9	18	1.5	2	14.25	0.0163076503501002	0.959543199661784
chr8	92322400	92324400	Crnde	12	18	11	16	1.5	1.45454545454545	14.25	-0.123787858315611	0.3626537505391
chr9	20990000	20993600	Mrpl4	14	12	14	17	-1.16666666666667	1.21428571428571	14.25	-0.0623313218728446	0.316508137900493
chr9	32567100	32569100	Fli1	10	13	16	18	1.3	1.125	14.25	0.614323135573078	3.50780644131138e-09
chr9	51167500	51169500	Pou2af1	12	13	22	10	1.08333333333333	-2.2	14.25	2.39906035899419	0.125878867478077
chr9	55447300	55450700	Etfa	20	6	23	8	-3.33333333333333	-2.875	14.25	0.117123057699095	0.00536998821183779
chr9	114947800	114949800	Gpd1l	13	12	17	15	-1.08333333333333	-1.13333333333333	14.25	0.188275100315654	0.00364193269623801
chr11	49657600	49659800	Scgb3a1	12	8	19	18	-1.5	-1.05555555555556	14.25	0.38982909723421	NA
chr12	31245700	31249700	Lamb1	20	7	17	13	-2.85714285714286	-1.30769230769231	14.25	-2.07443083457203	3.38744399897649e-296
chr13	42548400	42550400	Phactr1	19	6	13	19	-3.16666666666667	1.46153846153846	14.25	-3.21110948724975	0.0581427919194898
chr15	67035800	67037800	Ndrg1	16	11	15	15	-1.45454545454545	0	14.25	0.0318525270280235	0.64513485377674
chr15	76157300	76159300	Plec	9	10	30	8	1.11111111111111	-3.75	14.25	-0.0228826809858454	0.632756242831537
chr15	77313500	77315500	Rbfox2	12	13	18	14	1.08333333333333	-1.28571428571429	14.25	-0.0827776344847717	0.083093680712319
chr16	30080800	30084000	Hes1	9	11	17	20	1.22222222222222	1.17647058823529	14.25	0.978830823232212	1.96175937458353e-16
chr16	44715600	44717600	Nepro	11	8	15	23	-1.375	1.53333333333333	14.25	0.0229295980903362	0.784912366972824
chr17	26396400	26398400	Neurl1b	19	16	4	18	-1.1875	4.5	14.25	-1.53343544881657	1.38740354255073e-22
chr17	27745800	27747800	Spdef	15	11	14	17	-1.36363636363636	1.21428571428571	14.25	1.97923230656903	0.22280802342924
chr17	29787900	29791500	Mdga1	19	12	10	16	-1.58333333333333	1.6	14.25	0.837239247108751	9.65709101104846e-24
chr17	73086200	73088200	Lclat1	13	19	13	12	1.46153846153846	-1.08333333333333	14.25	0.871556018472922	1.19864623217133e-98
chr18	60514800	60518300	Dctn4	13	7	19	18	-1.85714285714286	-1.05555555555556	14.25	-0.153849252444663	0.000192397360021946
chr19	3743900	3745900	Kmt5b	14	8	14	21	-1.75	1.5	14.25	0.375942459778588	1.08225934770235e-11
chr19	27122400	27124800	Vldlr	5	19	16	17	3.8	1.0625	14.25	1.48157211690517	1.86991323062085e-248
chr1	135182500	135184500	Gpr37l1	9	10	20	17	1.11111111111111	-1.17647058823529	14	0.38982909723421	NA
chr2	12022500	12026000	Itga8	15	9	22	10	-1.66666666666667	-2.2	14	-1.58364854684719	2.30828494651448e-105
chr2	48537600	48540700	Acvr2a	11	12	17	16	1.09090909090909	-1.0625	14	-0.265386016439709	0.000484503554727398
chr2	73000000	73002000	Sp3os	23	12	8	13	-1.91666666666667	1.625	14	-0.626090320407586	1.30478421487497e-06
chr4	53796200	53798200	Tal2	9	18	11	18	2	1.63636363636364	14	0.859430126433289	0.322460282291871
chr4	134978500	134982000	Syf2	10	8	19	19	-1.25	0	14	0.601224462508943	9.83310016580526e-27
chr5	103392900	103394900	Ptpn13	11	13	15	17	1.18181818181818	1.13333333333333	14	0.482777410390168	7.15817523262916e-40
chr5	110094500	110096500	Plcxd1	23	13	9	11	-1.76923076923077	1.22222222222222	14	0.0883137480072445	0.798080432166702
chr6	30595500	30597500	Cpa5	14	11	17	14	-1.27272727272727	-1.21428571428571	14	-2.53522192626109	0.222899291805795
chr7	51783000	51785000	Gas2	17	15	8	16	-1.13333333333333	2	14	-1.65145730669064	1.54928025612779e-73
chr7	142644400	142647200	Igf2	17	11	15	13	-1.54545454545455	-1.15384615384615	14	1.84986290148516	1.36876102511143e-100
chr8	107577200	107579200	Psmd7	17	17	10	12	0	1.2	14	-0.165079481587986	2.58530858754975e-05
chr9	59133500	59135500	Neo1	17	16	7	16	-1.0625	2.28571428571429	14	-0.334073848803274	6.68154125426092e-14
chr10	80195800	80197800	Efna2	13	6	14	23	-2.16666666666667	1.64285714285714	14	0.599692756327786	3.09214145092368e-09
chr10	121128400	121130400	Wif1	11	8	20	17	-1.375	-1.17647058823529	14	3.5528084892858	5.02168061085798e-302
chr11	53249900	53253600	Hspa4	19	9	11	17	-2.11111111111111	1.54545454545455	14	-0.304875445986201	5.27873390202191e-08
chr11	86839400	86841600	Dhx40	8	12	19	17	1.5	-1.11764705882353	14	0.440773305908894	4.94882257160807e-27
chr11	101680000	101682000	Arl4d	13	14	17	12	1.07692307692308	-1.41666666666667	14	0.832253973456724	4.17076793650605e-25
chr13	32923000	32925600	Serpinb1c	14	14	11	17	0	1.54545454545455	14	-0.331477887569045	NA
chr15	8715800	8717800	Slc1a3	18	11	14	13	-1.63636363636364	-1.07692307692308	14	-0.404481746692082	2.90767296825769e-11
chr15	85599100	85601100	Wnt7b	10	12	9	25	1.2	2.77777777777778	14	4.92150891061106	1.06089485050741e-27
chr15	97741300	97743300	Rapgef3	12	7	17	20	-1.71428571428571	1.17647058823529	14	-1.27329806088843	1.20494117636884e-13
chr16	30660700	30662700	Fam43a	10	8	19	19	-1.25	0	14	1.40485339703816	4.35215424661722e-109
chr18	3664800	3672100	Bambi	14	9	10	23	-1.55555555555556	2.3	14	2.18180463269001	1.80709499026492e-104
chr18	53237600	53239600	Snx24	21	5	19	11	-4.2	-1.72727272727273	14	0.0683840029827922	0.392520945553195
chr1	156769000	156771200	Ralgps2	10	16	14	15	1.6	1.07142857142857	13.75	-1.28596289073726	1.32525825736428e-25
chr1	172431600	172433800	Slamf9	10	4	22	19	-2.5	-1.15789473684211	13.75	NA	NA
chr2	32120000	32124000	Plpp7	11	13	20	11	1.18181818181818	-1.81818181818182	13.75	1.11748903355823	0.000126607963665716
chr2	36009800	36013100	Ttll11	12	13	18	12	1.08333333333333	-1.5	13.75	-0.478035671864825	0.0790130925558671
chr2	38460000	38462000	Nek6	11	10	16	18	-1.1	1.125	13.75	-0.843425529453028	7.43650519033452e-30
chr3	115737400	115739400	S1pr1	11	10	22	12	-1.1	-1.83333333333333	13.75	0.218778253947319	1.65788667467866e-09
chr4	41081000	41084300	Aqp3	7	10	16	22	1.42857142857143	1.375	13.75	1.11115634973152	NA
chr4	129416000	129418000	Zbtb8b	8	8	17	22	0	1.29411764705882	13.75	-2.55701654102337	0.0183780909169569
chr4	132807600	132809600	Themis2	9	13	11	22	1.44444444444444	2	13.75	1.11116986148538	NA
chr6	115697000	115699000	Raf1	9	9	18	19	0	1.05555555555556	13.75	0.27980375078129	8.50478131666513e-18
chr7	25831000	25833000	Cyp2s1	14	14	10	17	0	1.7	13.75	-0.598621147255266	0.229185131818994
chr8	35350400	35352400	Ppp1r3b	10	16	11	18	1.6	1.63636363636364	13.75	0.457393506262168	1.67972032699982e-07
chr8	128213200	128215200	Mir21c	12	9	18	16	-1.33333333333333	-1.125	13.75	NA	NA
chr10	69118500	69120500	Rhobtb1	9	8	14	24	-1.125	1.71428571428571	13.75	1.28557911365974	6.12873007465509e-49
chr11	32800000	32802700	Smim23	9	11	19	16	1.22222222222222	-1.1875	13.75	NA	NA
chr11	69264900	69267800	Gucy2e	16	16	12	11	0	-1.09090909090909	13.75	2.79018288647199	4.17512670811536e-05
chr16	44675500	44677500	Nepro	13	14	20	8	1.07692307692308	-2.5	13.75	0.0229295980903362	0.784912366972824
chr16	58531800	58535000	St3gal6	11	2	25	17	-5.5	-1.47058823529412	13.75	-0.750560207893286	0.00842689326605583
chr18	32523800	32525800	Gypc	16	5	17	17	-3.2	0	13.75	-0.556241416745521	7.77303937535231e-30
chr18	52717200	52719200	Gykl1	10	17	13	15	1.7	1.15384615384615	13.75	4.2800513882634	0.00782798737585461
chr18	52752700	52754700	Sncaip	6	19	12	18	3.16666666666667	1.5	13.75	6.15560618274803	1.21280842806988e-42
chr1	74961000	74964100	Ihh	15	16	10	13	1.06666666666667	1.3	13.5	1.93326184931447	0.00279845404948749
chr1	92719700	92721700	Otos	12	11	15	16	-1.09090909090909	1.06666666666667	13.5	2.96053238537423	3.60173470874306e-06
chr1	133815200	133817200	Atp2b4	6	6	16	26	0	1.625	13.5	1.9281091610112	0
chr2	34664300	34667100	Gapvd1	9	12	11	22	1.33333333333333	2	13.5	-0.15859144532313	8.02205598839831e-05
chr2	59528700	59530700	Dapl1	17	7	18	12	-2.42857142857143	-1.5	13.5	1.86913271788403	NA
chr2	137853100	137855100	Btbd3	11	17	13	13	1.54545454545455	0	13.5	0.390476825192822	5.63694103328801e-13
chr2	155595987	155597987	Gss	12	14	13	15	1.16666666666667	1.15384615384615	13.5	0.418977619673919	7.24425467594209e-12
chr2	168044400	168046800	Ripor3	11	12	13	18	1.09090909090909	1.38461538461538	13.5	2.11052331396778	1.3830412632182e-57
chr3	54646000	54648000	Supt20	8	13	13	20	1.625	1.53846153846154	13.5	-0.208735230200458	0.000169593923133116
chr3	154570700	154572700	Tyw3	8	13	12	21	1.625	1.75	13.5	-0.52576896595342	0.0584266849195927
chr4	134717300	134720800	Man1c1	17	6	12	19	-2.83333333333333	1.58333333333333	13.5	-0.55399836178835	5.07693537872216e-32
chr5	64839000	64841200	Klf3	12	7	10	25	-1.71428571428571	2.5	13.5	0.662343381567193	4.00844777306077e-31
chr6	117885200	117888500	Hnrnpf	11	21	13	9	1.90909090909091	-1.44444444444444	13.5	-0.0400821342540557	0.276923411207623
chr7	138919400	138921400	Bnip3	16	18	9	11	1.125	1.22222222222222	13.5	0.781103797624746	6.69794377715499e-13
chr8	13215700	13217700	Grtp1	8	7	20	19	-1.14285714285714	-1.05263157894737	13.5	0.4788469519306	0.0796537052623908
chr8	46216600	46218600	Slc25a4	10	10	18	16	0	-1.125	13.5	-0.220731334369712	9.81408075596982e-17
chr9	63099600	63101600	Skor1	13	9	9	23	-1.44444444444444	2.55555555555556	13.5	0.562684906953668	0.540304257454327
chr9	77824800	77826800	Gclc	10	9	21	14	-1.11111111111111	-1.5	13.5	-0.889368894522564	1.23262532042127e-30
chr9	105553000	105557700	Atp2c1	13	8	16	17	-1.625	1.0625	13.5	0.0122151794430253	0.864406392792929
chr10	68794600	68796600	Tmem26	10	11	19	14	1.1	-1.35714285714286	13.5	0.38982909723421	NA
chr10	70291100	70293100	Slc16a9	13	9	13	19	-1.44444444444444	1.46153846153846	13.5	-1.60349708784741	4.51142597984555e-43
chr10	95032200	95034200	Plxnc1	8	9	9	28	1.125	3.11111111111111	13.5	-0.732192247169987	1.19869936991779e-07
chr11	32963200	32965200	Smim23	14	12	12	16	-1.16666666666667	1.33333333333333	13.5	NA	NA
chr11	101820100	101822100	Etv4	14	8	9	23	-1.75	2.55555555555556	13.5	0.522731549443252	0.000292683112844757
chr11	116423800	116425800	Ubald2	12	14	16	12	1.16666666666667	-1.33333333333333	13.5	0.015296990322864	0.891033924195511
chr13	32912000	32914000	Serpinb1c	11	12	19	12	1.09090909090909	-1.58333333333333	13.5	-0.331477887569045	NA
chr13	34153400	34155400	Psmg4	22	13	8	11	-1.69230769230769	1.375	13.5	-0.468255260402116	1.7663611605466e-05
chr13	43502100	43505200	Ranbp9	11	18	7	18	1.63636363636364	2.57142857142857	13.5	0.610490391727578	4.55877404494699e-41
chr14	76597200	76601500	Serp2	11	18	11	14	1.63636363636364	1.27272727272727	13.5	0.456000872129577	0.0783042954062782
chr15	96972400	96974400	Slc38a4	14	15	13	12	1.07142857142857	-1.08333333333333	13.5	-0.0984775787261647	0.696612009895734
chr18	5931400	5933400	Arhgap12	10	17	13	14	1.7	1.07692307692308	13.5	0.857448385621841	1.75418170336836e-39
chr19	17288700	17290700	Gcnt1	10	12	22	10	1.2	-2.2	13.5	0.435667366606323	3.1923495004266e-15
chr1	90470100	90472100	Cops8	12	8	18	15	-1.5	-1.2	13.25	-0.0120734731121197	0.917146487563814
chr1	180283800	180287000	Psen2	8	12	15	18	1.5	1.2	13.25	0.134690077907329	0.246977445759081
chr2	94288700	94290700	Mir670	7	6	17	23	-1.16666666666667	1.35294117647059	13.25	NA	NA
chr2	118498700	118500700	Srp14	8	17	9	19	2.125	2.11111111111111	13.25	0.253657086779396	1.28604049886443e-09
chr3	94610300	94612300	Tuft1	11	14	5	23	1.27272727272727	4.6	13.25	0.249441288929852	0.853776218469167
chr3	130819400	130821400	Rpl34	8	13	13	19	1.625	1.46153846153846	13.25	0.35630531638289	3.38298589711456e-20
chr3	147973200	147976600	Adgrl2	16	12	14	11	-1.33333333333333	-1.27272727272727	13.25	-0.837327651478618	2.8034470291173e-115
chr4	133906700	133908700	Rps6ka1	13	16	9	15	1.23076923076923	1.66666666666667	13.25	-0.697095282451397	6.38250044225842e-16
chr5	104127900	104129900	Sparcl1	7	13	23	10	1.85714285714286	-2.3	13.25	-0.989339459379097	6.89414531134631e-71
chr5	107079000	107081600	Tgfbr3	9	10	13	21	1.11111111111111	1.61538461538462	13.25	-0.941836407905198	9.0211276975913e-49
chr5	114465600	114469100	Mvk	15	10	13	15	-1.5	1.15384615384615	13.25	-0.215445950703012	0.000683826184556397
chr5	138965400	138967600	Pdgfa	9	13	11	20	1.44444444444444	1.81818181818182	13.25	1.5666769263644	0
chr6	39433400	39436600	Mkrn1	18	10	7	18	-1.8	2.57142857142857	13.25	0.381203297621434	4.78047270677466e-12
chr6	51593200	51596000	Snx10	13	17	8	15	1.30769230769231	1.875	13.25	-0.35860276310959	6.60708910743968e-09
chr6	54731800	54733800	Mturn	9	7	20	17	-1.28571428571429	-1.17647058823529	13.25	-0.22727156123524	2.24684636840037e-05
chr7	128368200	128370200	Rgs10	11	15	20	7	1.36363636363636	-2.85714285714286	13.25	-0.257019354076539	1.10378717345497e-05
chr8	35126000	35128000	Tnks	12	6	22	13	-2	-1.69230769230769	13.25	-0.339415328093705	4.64304461932347e-15
chr9	58517500	58519500	Cd276	17	9	13	14	-1.88888888888889	1.07692307692308	13.25	0.653906252173511	1.77355965613977e-87
chr9	63030400	63032400	Pias1	19	13	7	14	-1.46153846153846	2	13.25	-0.438249525431094	1.36290407646885e-20
chr9	63057900	63060800	Pias1	16	9	13	15	-1.77777777777778	1.15384615384615	13.25	-0.438249525431094	1.36290407646885e-20
chr9	67000700	67002700	Lactb	19	15	10	9	-1.26666666666667	-1.11111111111111	13.25	0.217435708372053	0.0308296551116534
chr10	27987400	27989400	Ptprk	13	14	13	13	1.07692307692308	0	13.25	0.199905901146978	0.0327967634841893
chr10	62795300	62797300	Ccar1	12	16	10	15	1.33333333333333	1.5	13.25	0.300695377892586	6.71858530181646e-08
chr10	108088200	108090200	Ppp1r12a	10	10	12	21	0	1.75	13.25	-0.114733190949009	0.00836899210529182
chr11	69717200	69720300	Polr2a	13	10	15	15	-1.3	0	13.25	-0.680818217051625	5.6385052508586e-89
chr12	8824400	8826400	Sdc1	11	14	10	18	1.27272727272727	1.8	13.25	-0.217637233279122	6.72983381487671e-11
chr13	51327700	51329700	S1pr3	7	12	19	15	1.71428571428571	-1.26666666666667	13.25	3.56747860232361	0.00551930395365005
chr14	55335600	55340300	Dhrs2	4	20	12	17	5	1.41666666666667	13.25	NA	NA
chr15	51773600	51776400	Eif3h	10	8	25	10	-1.25	-2.5	13.25	0.0898615113380432	0.0716260673161841
chr16	38391700	38393700	Popdc2	10	15	14	14	1.5	0	13.25	-2.39473702883506	0.0241891070157472
chr17	79917600	79921100	Atl2	10	12	14	17	1.2	1.21428571428571	13.25	0.184429610108496	0.000218073504925676
chr17	85969900	85972500	Srbd1	17	10	14	12	-1.7	-1.16666666666667	13.25	-0.113172932355112	0.0307864987483701
chr17	86904500	86906500	Tmem247	14	7	20	12	-2	-1.66666666666667	13.25	NA	NA
chr18	46675400	46677400	Cdo1	11	10	15	17	-1.1	1.13333333333333	13.25	1.8112224693268	9.81623317210813e-43
chr18	80040800	80043200	Pard6g	4	8	15	26	2	1.73333333333333	13.25	0.889816937302452	9.16407350803032e-63
chr19	27379500	27381500	Pum3	11	17	11	14	1.54545454545455	1.27272727272727	13.25	-0.253580019142761	1.44037805119407e-10
chr1	59367700	59369700	Cdk15	3	13	14	22	4.33333333333333	1.57142857142857	13	-0.625791464704545	0.000534371245637998
chr1	125525300	125527300	Slc35f5	11	7	21	13	-1.57142857142857	-1.61538461538462	13	0.34966410165845	3.38566537183542e-19
chr2	26040600	26042600	Ubac1	18	10	11	13	-1.8	1.18181818181818	13	-0.373360612018807	1.06894888721421e-16
chr2	93338700	93340700	Tspan18	11	5	20	16	-2.2	-1.25	13	-1.68929017249783	2.4136571743999e-94
chr2	168837000	168841500	Sall4	14	13	15	10	-1.07692307692308	-1.5	13	NA	NA
chr2	174875500	174879900	Edn3	14	10	15	13	-1.4	-1.15384615384615	13	NA	NA
chr3	132032400	132034400	Dkk2	13	14	11	14	1.07692307692308	1.27272727272727	13	-0.972574021624903	5.56853864393117e-05
chr3	147966200	147968600	Adgrl2	16	15	6	15	-1.06666666666667	2.5	13	-0.837327651478618	2.8034470291173e-115
chr4	150228600	150231600	Eno1	10	9	17	16	-1.11111111111111	-1.0625	13	-0.0661535939441818	0.350543816244013
chr6	52085500	52087500	Halr1	10	14	20	8	1.4	-2.5	13	0.734940650087101	0.627745845758079
chr6	94771700	94775600	Lrig1	12	5	14	21	-2.4	1.5	13	-0.190551583689381	0.00584552763945368
chr6	117245100	117247100	Cxcl12	12	12	12	16	0	1.33333333333333	13	-1.20151763292382	2.41558293569907e-154
chr6	149233400	149235400	Amn1	6	7	16	23	1.16666666666667	1.4375	13	0.549465951107934	2.15186745624011e-10
chr7	112212600	112214600	Mical2	14	7	19	12	-2	-1.58333333333333	13	0.662451413855204	8.42925122283863e-42
chr7	126754300	126756300	Mapk3	22	12	7	11	-1.83333333333333	1.57142857142857	13	-0.221432398078825	1.12944835288496e-11
chr8	85317300	85320400	Orc6	12	12	15	13	0	-1.15384615384615	13	-0.701828739439666	1.27544955940525e-29
chr8	107886100	107888100	Zfhx3	9	11	20	12	1.22222222222222	-1.66666666666667	13	-0.568331479033066	1.31276179716601e-14
chr8	115527200	115529200	Maf	18	9	10	15	-2	1.5	13	-0.133771647111139	0.00835097808824254
chr8	127719800	127722400	Pard3	4	10	17	21	2.5	1.23529411764706	13	-0.371557221918267	3.86316908969017e-20
chr9	30895800	30897800	Adamts15	17	9	13	13	-1.88888888888889	0	13	4.60713547901504	9.08138943620456e-07
chr9	67616500	67618500	Tln2	17	7	12	16	-2.42857142857143	1.33333333333333	13	-1.23564654083848	3.60386327479082e-61
chr9	75435100	75437100	Leo1	16	6	14	16	-2.66666666666667	1.14285714285714	13	-0.119580672998422	0.0335153195630968
chr9	87556400	87558400	Tbx18	13	9	12	18	-1.44444444444444	1.5	13	0.00458229719875478	0.939190744443222
chr9	88069000	88071000	Nt5e	21	13	7	11	-1.61538461538462	1.57142857142857	13	1.76383277396217	0
chr10	3509300	3511300	Iyd	14	8	14	16	-1.75	1.14285714285714	13	1.11163962481317	NA
chr10	80921800	80923800	Lmnb2	12	13	11	16	1.08333333333333	1.45454545454545	13	-0.612674175843825	7.51243177112455e-26
chr10	82961200	82963200	Chst11	9	9	18	16	0	-1.125	13	3.87321850748161	0
chr11	3561200	3563200	Smtn	15	14	10	13	-1.07142857142857	1.3	13	0.834096211476711	1.37109047412331e-123
chr11	63774800	63776800	Hs3st3b1	12	9	16	15	-1.33333333333333	-1.06666666666667	13	0.389822341357282	NA
chr11	78815400	78818800	Lyrm9	10	13	15	14	1.3	-1.07142857142857	13	-0.240490169839768	0.692600945881352
chr12	69377500	69379500	Arf6	15	12	18	7	-1.25	-2.57142857142857	13	0.091876503198183	0.0419823854076265
chr12	84913700	84915700	Arel1	7	4	17	24	-1.75	1.41176470588235	13	0.0880498266697683	0.425896111009184
chr12	85574100	85576700	Jdp2	9	10	10	23	1.11111111111111	2.3	13	-0.230377113454724	0.0172515692255376
chr13	32517900	32519900	Gmds	9	13	12	18	1.44444444444444	1.5	13	-0.433114017169383	1.43915839234623e-12
chr13	63943600	63945600	Ercc6l2	10	8	12	22	-1.25	1.83333333333333	13	0.367105145082027	4.57559500904421e-06
chr15	93655600	93657600	Prickle1	10	12	11	19	1.2	1.72727272727273	13	0.847430998826894	9.88500264957558e-55
chr17	14230200	14233600	Dact2	7	9	24	12	1.28571428571429	-2	13	-2.33795616114374	1.65778631348229e-07
chr17	26369600	26371600	Neurl1b	7	9	17	19	1.28571428571429	1.11764705882353	13	-1.53343544881657	1.38740354255073e-22
chr18	5339900	5341900	Zfp438	9	15	17	11	1.66666666666667	-1.54545454545455	13	-0.0824089740430542	0.607222253488992
chr18	8895900	8897900	Fzd8	16	11	12	13	-1.45454545454545	1.08333333333333	13	1.13839991187118	6.3769656973663e-96
chr19	56760400	56762400	Ccdc186	6	11	16	19	1.83333333333333	1.1875	13	0.77998813123309	1.67129257789839e-73
